Time,nH2_g,nCO2_g,nCH4_g,nH2S_g,H2_aq,CO2_aq,SO4,FeS,X,Acetate,HCO3,S_tot,Lag,Fe_pool,H2S_aq,HS_aq,r_meth,r_sulf,r_precip,r_aceto
3.9218437,8.3474226,2.1967317,0.020228232,0.030412032,0.17003849,12.810477,5.1175054,0.01,5.6047085,9.1494468,0,0.91752797,0.99180229,0.1,0.499665,0.41786297,1.2116609,1.4862074,0,7.613089
3.9599198,8.3239262,2.1881086,0.020923256,0.03099451,0.16361976,12.758398,5.0738875,0.01,5.7816379,9.4397541,0,0.93526417,0.99226106,0.1,0.50880223,0.42646194,1.2220746,1.4849796,0,7.6351205
3.997996,8.3003573,2.1794574,0.021624115,0.031576185,0.15762382,12.706257,5.0303483,0.01,5.9590028,9.7308376,0,0.95299347,0.99269481,0.1,0.51791582,0.43507765,1.2320967,1.4830476,0,7.6539058
4.0360721,8.2767257,2.1707815,0.022330593,0.032156772,0.15201467,12.654066,4.9869133,0.01,6.136731,10.022579,0,0.9707094,0.99310486,0.1,0.52700228,0.44370712,1.2417607,1.4804742,0,7.6697212
4.0741483,8.2530407,2.1620844,0.023042496,0.032736008,0.14675975,12.601836,4.9436057,0.01,6.3147563,10.31487,0,0.98840603,0.99349245,0.1,0.5360584,0.45234763,1.2510967,1.4773167,0,7.6828164
4.1122244,8.2293107,2.1533688,0.023759645,0.033313658,0.14182963,12.549577,4.9004468,0.01,6.4930184,10.607612,0,1.0060779,0.99385879,0.1,0.54508127,0.46099666,1.2601319,1.4736268,0,7.6934177
4.1503006,8.2055433,2.1446377,0.024481873,0.033889505,0.13719767,12.4973,4.8574558,0.01,6.6714619,10.900712,0,1.0237201,0.99420498,0.1,0.55406824,0.46965191,1.2688908,1.4694514,0,7.7017295
4.1883768,8.1817455,2.1358936,0.02520903,0.034463353,0.13283979,12.445013,4.8146503,0.01,6.8500359,11.194089,0,1.0413281,0.9945321,0.1,0.56301689,0.47831122,1.2773954,1.4648332,0,7.7079373
4.2264529,8.1579239,2.1271387,0.025940977,0.035035022,0.12873417,12.392724,4.7720464,0.01,7.0286936,11.487665,0,1.0588977,0.99484118,0.1,0.57192502,0.48697263,1.2856657,1.4598107,0,7.712209
4.2645291,8.1340844,2.1183752,0.026677585,0.03560435,0.12486107,12.340442,4.7296586,0.01,7.2073923,11.781369,0,1.0764249,0.99513317,0.1,0.58079062,0.49563431,1.2937194,1.4544191,0,7.7146969
4.3026052,8.1102324,2.1096051,0.027418735,0.036171187,0.12120257,12.288174,4.6875004,0.01,7.3860923,12.075136,0,1.0939064,0.995409,0.1,0.58961186,0.50429457,1.3015728,1.4486905,0,7.7155394
4.3406814,8.086373,2.1008301,0.028164316,0.036735398,0.11774242,12.235926,4.6455838,0.01,7.5647573,12.368906,0,1.1113389,0.99566952,0.1,0.59838706,0.51295183,1.3092403,1.442654,0,7.7148622
4.3787575,8.0625108,2.092052,0.028914227,0.037296861,0.11446586,12.183704,4.6039201,0.01,7.7433536,12.662623,0,1.1287194,0.99591557,0.1,0.6071147,0.52160465,1.316735,1.4363363,0,7.7127798
4.4168337,8.0386501,2.0832723,0.029668372,0.037855462,0.11135944,12.131515,4.5625192,0.01,7.9218501,12.956235,0,1.1460451,0.99614792,0.1,0.6157934,0.53025168,1.3240688,1.4297616,0,7.7093966
